,name,type,rank,description
0,Carol Yu,person,54582.0,"Ms. Carol Yu joined Sohu in March 2004 as our Chief Financial Officer.  From March 1995 until November 2000, Ms. Yu served as Senior Vice-President of Investment Banking at Donaldson Lufkin & Jenrette Securities Corporation in Hong Kong.  Ms. Yu also worked with Arthur Andersen Hong Kong and Beijing for ten years and was a partner of the Audit Division, holding the position of General Manager of Arthur Andersen-Hua Qiang, the joint venture accounting firm formed between Arthur Andersen and the Ministry of Finance in China.  Ms. Yu obtained a bachelor’s degree in accounting from The Hong Kong Polytechnic University."
1,Paul Okhrem,person,165541.0,Over 7 years of experience in business and technical consulting in e-commerce. Strong expertise in Magento consulting.
2,Emma Huovinen,person,140755.0,"Emma is one of the co-founders of MyNextRun. Emma started running with a full marathon, but now likes to participate in shorter races."
3,Mark Santamaria,person,219082.0,"Mark Santamaria was promoted to Senior Vice President and Chief Financial Officer in November 2015. He joined AM General as Vice President and Chief Financial Officer on 28 July, 2014. He is responsible for all financial, accounting, tax and risk management matters.  Prior to joining AM General, Mark was a Finance Executive Director at CACI International, Inc. serving as the CFO of National and Cyber Solutions, a Business Group at CACI supporting customers across the Intelligence Community with revenues of approximately $550M. He joined CACI in November 2013.Prior to joining CACI, Mark was the Senior Vice President and Chief Financial Officer for The SI Organization, Inc. In this role, he led the development and implementation of financial strategies across the enterprise to ensure the SI and its customers were well positioned to meet mission goals. The SI Organization is a mid-size federal government contractor with 2,000 employees and annual revenue of approximately $650M. The SI was a carve-out asset sale from the Lockheed Martin Corporation, sold to the private equity firm of Veritas Capital in November 2010. Mark left the SI in January 2013.Mark led a diverse team of finance professionals that provided financial support to the SI’s business in the areas of accounting, treasury, pricing, program finance, government compliance, internal audit, overhead management, global supply chain management, and financial planning and analysis. Mark ensured that the SI met its financial commitments while providing an appropriate return for the company’s shareholders.  Mark has over 28 years of experience in the defense and aerospace industry, charting his career path to gain experience across the full breadth of finance operations. Prior to his position at the SI, Mark was the Director of Business Operations where he led the finance organization of the Enterprise Integration Group (the name of the SI Organization while part of Lockheed Martin) and directed the finance activities throughout the divestiture process.  Prior to that, Mark was the Directorof Cash Management for Lockheed Martin’s Information Systems & Global Services business area. In this role, he directed and coordinated cash improvement initiatives and applied Lean Six Sigma processes, significantly improving the business area’s cash to profit ratio. Mark previously served as the CFO for the Enterprise Solutions and Services operating division where he led an organization of 270 employees and had profit and loss responsibility for this $1.9B division.  Mark also served as Finance Director for the Lean Six Sigma Operating Excellence initiative where he advised businesses on how to more efficiently execute their financial responsibilities.  Mark attended Towson University where he graduated with cum laude honors and received a Bachelor’s degree in business administration, concentrating in the discipline of finance. He is a certified Lean Six Sigma Black Belt and completed the financial management program through the Stanford University Graduate School of Business."
4,Jason Lobel,person,249471.0,"Jason Lobel is the Group Head of Video at MTN. Jason is responsible for developing MTN’s video strategy across MTN’s 22 operations in the Middle East and Africa. Prior to joining MTN, he lead the video solutions teams for Africa at Cisco as well as NDS where he was the Regional Director for Africa. Jason also worked at Ericsson where he assisted a number leading Telco develop their data strategies. He has worked with many of the major Telcos, Pay TV operators, broadcasters and content providers across Middle East and Africa. Jason spent his early career working as a management consultant for both Andersen as well as KPMG where he specialized in market development and corporate strategy. Jason has a post-graduate degree in Economics from Rhodes University."
5,Douglas Arellanes,person,635881.0,"Douglas Arellanes (born 1967 near Los Angeles, California, USA) is one of three co-founders of Sourcefabric, a Czech nonprofit foundation devoted to providing technology support to independent media organizations worldwide. He serves as its director of innovation.  Before founding Sourcefabric with Sava Tatić and Micz Flor in 2010, he worked for eight years as a technologist and consultant for the Media Development Loan Fund, an international media support NGO, where he worked on technology projects with news organizations in post-conflict and transition countries.  In the 1990s, Arellanes was an executive with TDC Internet (formerly TeleDanmark), and successfully managed two technology startups, including the first web design agency in the Czech Republic.  Arellanes holds a bachelor's degree in Book Arts from the University of California, Santa Barbara. He also works as a translator from Czech to English, having translated such books as Tomas Sedlacek's “Economics of Good and Evil.” He has lived in Prague since 1992, and has been the host of a music show on Prague's Radio 1 since then."
6,Jonathan Goody,person,472625.0,"Jonathan Goody has over 25 years of experience in managing sales teams providing services to banks, credit unions, retail establishments, healthcare companies, and technology firms. Prior to working with Ncontracts, Mr. Goody was Senior Vice President at BancVue Interactive; Managing Partner of the Goody Group; Director of Bank and Credit Union Sales for Politzer and Haney, Executive Vice President of Sales for Net Insurance, Senior Vice President of Sales for ebDirect, Senior Vice President of Sales for Private Business Inc., and National Sales Manager for Bieber Lighting Corporation. Jonathan also served on the board of Community Bank of the Bay from 2002 until 2011, where he was the Chairman of the Loan Committee and the Compensation Committee and was a member of the Audit, Alco and Technology Steering Committees. Jonathan is also a two term Civil Service Commissioner for the City of Piedmont California. He graduated from the University of Southern California with a B.S. from the Marshall School of Business with an emphasis in Entrepreneurship."
7,Harris Naga Putra,person,297364.0,"Tech geeky, result-driven person. Strategic business and innovation thinking. Proven marketing and sales record. Social change and human rights philanthropist."
8,Harry Travis,person,487190.0,"Travis is the President and CEO of etectRx, Inc.  etectRx has developed a novel wireless system that incorporates a tiny ingestible wireless transmitter/receiver into capsules to definitively, reliably, and safely indicate when a patient has taken their medicine Mr. Travis is an experienced senior executive with over 25 years experience in all aspects of pharmaceutical distribution channel management.  He has held senior leadership positions with Baxter Healthcare, Cardinal Health, Accredo/Medco and Aetna.  Most recently he held the position of Vice President of Aetna’s Specialty and Home-Delivery Pharmacy Business.  Aetna’s specialty pharmacy is ranked in the top five specialty pharmacies in the US. Harry holds a BS in Pharmacy from the University of Pittsburgh, School of Pharmacy, and an MBA from The Darden School at the University of Virginia."
9,Jacqueline Zider,person,470080.0,"Jackie Zider joined HarbourVest in 2009. She left the Firm to attend business school and rejoined HarbourVest’s direct investment team in 2014 after completing her MBA. Jackie focuses on sourcing, reviewing, executing, and monitoring direct co-investments, primarily in the healthcare industry. She has played a key role on several deals including Advance Health, MedOptions, Sivantos (formerly Siemens Audiology Solutions), CareCentrix, and TriTech Software Systems. Additionally, she monitored and advised several direct portfolio companies including Acclaris, Nexidia, American Trailer Works (formerly PJ Trailers), and Xpressdocs. Jackie's previous experience includes three years with Morgan Stanley, where she was an investment banking analyst in the Global Power & Utility Group in New York and the Corporate Finance Group in San Francisco. Her prior experience also includes a position at McKesson Corporation.  She received an AB in Molecular Biology from Princeton University in 2006 and an MBA in Health Care Management (with honors) from the Wharton School at the University of Pennsylvania in 2014. Jackie speaks conversational Italian."
